3	26768	53	1	75	20725	76	0	0
4	26768	52	20725	73	30212	73	1	77
4	26768	52	20725	73	30212	73	1	77
4	26768	53	30212	70	20725	74	1	78
4	26768	47	1	70	30212	70	20725	75
3	30212	72	1	73	20725	76	0	0
4	26768	47	30212	72	1	73	20725	76
4	26768	47	30212	72	1	73	20725	75
3	30212	71	1	72	20725	75	0	0
4	26768	47	1	72	30212	73	20725	75
3	26768	48	30212	70	5183	81	0	0
4	26768	49	30212	72	1	73	20725	75
4	26768	52	30212	69	1	76	20725	76
4	26768	51	30212	69	1	76	20725	76
4	26768	52	30212	69	1	76	20725	77
4	26768	49	30212	68	20725	74	1	76
4	26768	51	30212	71	1	75	20725	75
4	26768	54	30212	69	20725	76	1	77
