4	20725	40	1	67	26768	73	30212	75
4	20725	40	1	66	26768	75	30212	75
4	20725	40	1	65	26768	73	30212	74
4	20725	40	1	64	26768	72	30212	76
3	20725	40	1	64	26768	74	0	0
4	20725	40	1	65	26768	72	30212	75
3	20725	40	1	57	26768	76	0	0
4	20725	40	1	60	30212	75	26768	76
4	20725	40	1	65	26768	70	30212	76
4	20725	40	1	62	30212	75	26768	75
4	20725	40	1	59	30212	75	26768	80
4	20725	40	1	67	30212	73	26768	80
4	20725	40	1	67	30212	75	26768	78
4	20725	40	1	67	30212	75	26768	80
4	20725	40	1	67	30212	74	26768	74
3	20725	40	1	65	26768	75	0	0
4	20725	40	1	74	30212	75	26768	77
3	20725	40	1	65	26768	72	0	0
4	20725	40	1	64	26768	71	30212	76
4	20725	40	1	64	26768	71	30212	75
4	20725	40	1	65	26768	74	30212	76
4	20725	40	1	62	30212	73	26768	77
4	20725	40	1	56	30212	72	26768	80
4	20725	40	1	56	30212	72	26768	81
3	20725	40	1	61	30212	73	0	0
4	20725	40	1	61	30212	72	26768	81
4	20725	40	1	58	30212	73	26768	78
4	20725	40	1	58	30212	73	26768	78
4	20725	40	1	61	30212	73	26768	80
4	20725	40	1	60	30212	73	26768	81
